"Western Governors University
4001 South 700 East"
"International Peace Gardens
 1060 Dalton Ave S"
"Sugar House Park
 1330 2100 S"
"Taylorsville-Bennion Heritage City Gov Off
 1488 4800 S"
"Salt Lake City Division of Health Services 
 177 W Price Ave"
"South Salt Lake Public Works
 195 W Oakland Ave"
"Salt Lake City Streets and Sanitation
 2010 W 500 S"
"Deker Lake
 2300 Parkway Blvd"
"Salt Lake City Ottinger Hall
 233 Canyon Rd"
"Columbus Library
 2530 S 500 E"
"Taylorsville City Hall
 2600 Taylorsville Blvd"
"South Salt Lake Police
 2835 Main St"
"Council Hall
 300 State St"
"Redwood Park
 3060 Lester St"
"Salt Lake County Mental Health
 3148 S 1100 W"
"Salt Lake County/United Police Dept
 3365 S 900 W"
"West Valley Prosecutor
 3575 W Valley Central Station bus Loop"
"Housing Auth. of Salt Lake County
 3595 Main St"
"Utah DMV Administrative Office
 380 W 2880 S"
"Third District Juvenile Court
 410 S State St"
"Cottonwood Regional Softball Complex
 4300 S 1300 E"
"Holiday City Office
 4580 S 2300 E"
"Murray City Museum
 5025 State St"
"Valley Regional Softball Complex
 5100 South 2700 West"
"City Center of Rock Springs
 5383 South 900 East #104"
"Rice Terrace Pavilion Park
 600 E 900 South"
"Wheeler Historic Farm 
 6351 South 900 East"
